State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Arkansas,05,4,"Congressional District 4 (119th Congress), Arkansas",744382,54533,155400,41.3,514339,143122,61055,565898
California,06,1,"Congressional District 1 (119th Congress), California",759259,69829,389300,39.2,478754,15081,186739,550041
California,06,2,"Congressional District 2 (119th Congress), California",752654,97004,860700,45.3,497441,11775,169357,566876
California,06,3,"Congressional District 3 (119th Congress), California",807351,107122,665000,43.3,556418,15629,125006,606236
California,06,4,"Congressional District 4 (119th Congress), California",760875,98067,686300,39.9,409815,20833,257781,554604
California,06,5,"Congressional District 5 (119th Congress), California",772810,94859,520700,42.8,475489,20201,223170,576736
California,06,6,"Congressional District 6 (119th Congress), California",761692,87640,499100,37.2,367661,69817,181644,519201
California,06,7,"Congressional District 7 (119th Congress), California",764481,96869,572100,38.3,244098,76108,214400,531268
California,06,8,"Congressional District 8 (119th Congress), California",748589,95876,651900,39.7,194032,104755,266438,507181
California,06,9,"Congressional District 9 (119th Congress), California",784710,92036,561200,36.7,248109,53781,334569,493843
California,06,10,"Congressional District 10 (119th Congress), California",773816,151546,1039300,41.4,360993,35963,156277,530109
California,06,11,"Congressional District 11 (119th Congress), California",729775,142524,1413700,39.7,302596,37224,114397,545554
California,06,12,"Congressional District 12 (119th Congress), California",756336,111408,992700,38.6,256691,108338,182612,534557
California,06,13,"Congressional District 13 (119th Congress), California",790923,68434,418100,32.1,216451,20334,526920,439383
California,06,14,"Congressional District 14 (119th Congress), California",728854,137402,1107500,40.8,177599,40195,181486,456214
California,06,15,"Congressional District 15 (119th Congress), California",723474,151494,1418900,41.6,212510,17596,189231,483197
California,06,16,"Congressional District 16 (119th Congress), California",751938,181659,1956300,40.7,316035,10814,148658,487146
California,06,17,"Congressional District 17 (119th Congress), California",762984,181913,1563600,37.1,154374,13917,130608,432530
California,06,18,"Congressional District 18 (119th Congress), California",766286,103010,850700,34.9,249055,20798,492488,429840
California,06,19,"Congressional District 19 (119th Congress), California",741135,124559,1128100,42.7,372526,15699,187664,549636
California,06,20,"Congressional District 20 (119th Congress), California",816324,90892,436000,35.7,410007,29441,316371,559876
California,06,21,"Congressional District 21 (119th Congress), California",775200,66399,362500,32.3,202941,34738,520451,448878
California,06,22,"Congressional District 22 (119th Congress), California",770684,60072,315600,31.2,252111,32481,573432,416737
California,06,23,"Congressional District 23 (119th Congress), California",758179,77137,436600,36.2,310330,65239,358303,519182
California,06,24,"Congressional District 24 (119th Congress), California",756496,98127,916600,37.3,403445,13996,308683,535503
California,06,25,"Congressional District 25 (119th Congress), California",792416,69516,430800,37.1,223012,34216,534908,496583
California,06,26,"Congressional District 26 (119th Congress), California",751974,120711,886000,40.2,346084,14249,339257,512131
California,06,27,"Congressional District 27 (119th Congress), California",748971,103643,663100,37.8,262846,76901,334477,495578
California,06,28,"Congressional District 28 (119th Congress), California",750492,111299,1044100,42.7,218706,31058,207318,527148
California,06,29,"Congressional District 29 (119th Congress), California",724033,76888,768800,37.7,190430,30826,465453,433859
California,06,30,"Congressional District 30 (119th Congress), California",741397,89846,1178900,40.3,427670,28322,168988,549140
California,06,31,"Congressional District 31 (119th Congress), California",724696,90291,756100,40.4,150006,18372,437481,470233
California,06,32,"Congressional District 32 (119th Congress), California",763344,108176,1135000,41.0,401768,36782,204253,540772
California,06,33,"Congressional District 33 (119th Congress), California",783103,90288,556700,33.9,189069,68534,502410,486159
California,06,34,"Congressional District 34 (119th Congress), California",754617,63879,824200,36.7,119000,38219,490369,446051
California,06,35,"Congressional District 35 (119th Congress), California",764929,94230,650100,35.5,160217,42467,493490,492590
California,06,36,"Congressional District 36 (119th Congress), California",754490,131181,1580100,39.3,415622,31728,132159,563774
California,06,37,"Congressional District 37 (119th Congress), California",744775,69595,878300,35.3,119883,147947,418655,432669
California,06,38,"Congressional District 38 (119th Congress), California",722610,101415,822000,41.1,137139,16505,446276,490171
California,06,39,"Congressional District 39 (119th Congress), California",780819,91174,595700,34.1,185678,64621,509241,502374
California,06,40,"Congressional District 40 (119th Congress), California",744076,134956,1094100,42.7,370826,14200,197426,541570
California,06,41,"Congressional District 41 (119th Congress), California",824187,101842,653500,41.4,377893,43481,343996,589236
California,06,42,"Congressional District 42 (119th Congress), California",722218,81927,813600,36.4,209255,35612,484475,448419
California,06,43,"Congressional District 43 (119th Congress), California",719690,75336,716000,36.8,81500,153910,438579,433669
